Nb de periode :    30
 0.1000
  0.142214E+03 -0.105500E-04 -0.790850E+02  0.953078E-04  0.114474E+04  0.125510E-08
 -0.108033E-06  0.142087E+03  0.425279E-04 -0.114363E+04  0.107288E-05 -0.427194E-03
 -0.339737E+00 -0.170784E-01  0.378668E+06  0.644897E+00 -0.134131E+01 -0.856817E-07
 -0.107288E-05 -0.113285E+04  0.796050E-03  0.911527E+04 -0.157356E-04  0.340407E-02
  0.113023E+04 -0.457764E-04  0.201859E+04 -0.240993E-02  0.909513E+04  0.774162E-08
  0.298428E-12 -0.425125E-03 -0.492122E-10  0.342304E-02  0.142109E-10  0.141053E-08
 0.2000
  0.296504E+04 -0.187755E-04 -0.255764E+03  0.820160E-04  0.227143E+05  0.500586E-07
  0.268221E-05  0.296238E+04 -0.380576E-03 -0.226920E+05  0.267029E-04 -0.872928E-02
 -0.364813E+01  0.405731E-01  0.118087E+07  0.338965E+01 -0.348633E+02 -0.610948E-06
 -0.190735E-05 -0.224991E+05  0.219345E-04  0.172345E+06 -0.328064E-03  0.662974E-01
  0.224459E+05 -0.166512E-02  0.642663E+04  0.610352E-03  0.171954E+06  0.875443E-07
 -0.157570E-09 -0.868751E-02 -0.299633E-08  0.665488E-01  0.367436E-09  0.298737E-07
 0.3000
  0.392752E+05  0.429153E-03 -0.683650E+03 -0.335693E-02  0.277215E+06  0.247639E-05
 -0.438690E-04  0.392397E+05  0.922012E-02 -0.276937E+06 -0.625610E-03 -0.111876E+00
 -0.141066E+02 -0.192627E+00  0.294113E+07  0.721875E+01 -0.181846E+03 -0.280142E-05
 -0.717163E-03 -0.274705E+06  0.939178E-02  0.193597E+07 -0.494385E-02  0.783045E+00
  0.274035E+06  0.289917E-03  0.165130E+05 -0.115967E-02  0.193145E+07 -0.538677E-05
 -0.169166E-08 -0.111280E+00  0.173895E-08  0.785345E+00 -0.136788E-08  0.460532E-06
 0.4000
  0.274572E+06  0.325012E-02 -0.122136E+04 -0.477295E-01  0.172332E+07 -0.916421E-06
 -0.350952E-03  0.274310E+06 -0.846252E-01 -0.172145E+07  0.183105E-03 -0.744729E+00
  0.141963E+02 -0.397217E+00  0.466725E+07 -0.314648E+02 -0.228943E+03  0.566244E-05
 -0.146484E-02 -0.171332E+07 -0.631683E+00  0.107395E+08  0.239258E-01  0.465062E+01
  0.170891E+07  0.872803E-02  0.271172E+05  0.542480E+00  0.107131E+08 -0.517368E-04
  0.228756E-07 -0.741407E+00 -0.271102E-07  0.465237E+01  0.318047E-06  0.475335E-05
 0.5000
  0.111487E+07  0.131226E-02 -0.169653E+04 -0.268555E-02  0.600479E+07 -0.101030E-04
 -0.421143E-02  0.111379E+07 -0.465881E+00 -0.599802E+07  0.830078E-02 -0.283549E+01
  0.243907E+03 -0.100171E+01  0.553593E+07 -0.917188E+02  0.635428E+03  0.929832E-05
 -0.634766E-02 -0.593960E+07 -0.243042E+00  0.320012E+08 -0.214844E-01  0.151023E+02
  0.592292E+07 -0.266113E-01  0.334996E+05 -0.250000E+00  0.319162E+08 -0.925064E-04
 -0.864966E-07 -0.281799E+01 -0.851374E-06  0.151713E+02  0.623520E-06  0.343249E-04
 0.6000
  0.288140E+07  0.323486E-02 -0.191577E+04  0.117188E+00  0.127281E+08 -0.110865E-04
 -0.103149E-01  0.287878E+07  0.305176E-02 -0.127139E+08 -0.395508E-01 -0.672226E+01
  0.866868E+03  0.134277E+01  0.548080E+07 -0.336406E+02  0.263657E+04 -0.405312E-05
  0.112305E-01 -0.125737E+08  0.153125E+01  0.554153E+08  0.820312E-01  0.293061E+02
  0.125329E+08  0.275879E-01  0.350510E+05 -0.343750E+00  0.552454E+08  0.795364E-03
  0.232831E-08 -0.667793E+01  0.104184E-05  0.294985E+02  0.183041E-04  0.203323E-03
 0.7000
  0.492827E+07 -0.598145E-02 -0.176702E+04 -0.134766E+00  0.169122E+08  0.780821E-04
  0.378418E-02  0.492468E+07  0.123010E+01 -0.168948E+08 -0.732422E-01 -0.103045E+02
  0.165211E+04  0.130200E+01  0.475011E+07 -0.812500E+00  0.411961E+04 -0.596046E-06
 -0.102539E+00 -0.167163E+08 -0.298242E+01  0.578774E+08  0.621094E+00  0.346802E+02
  0.166492E+08 -0.209961E-01  0.330489E+05  0.304688E+00  0.576632E+08 -0.667572E-05
 -0.505708E-05 -0.102339E+02 -0.114553E-06  0.351043E+02 -0.681728E-06  0.840902E-03
 0.8000
  0.620525E+07  0.488281E-02 -0.139607E+04  0.102539E+00  0.154887E+08  0.975132E-04
  0.112305E-01  0.620199E+07  0.133765E+01 -0.154743E+08  0.576172E-01 -0.112494E+02
  0.209250E+04 -0.587646E+00  0.369184E+07 -0.271201E+02  0.338841E+04  0.143051E-05
  0.385742E-01 -0.153151E+08 -0.561768E+01  0.390687E+08 -0.185547E+00  0.272246E+02
  0.152363E+08 -0.209961E-01  0.279033E+05  0.738281E+00  0.388880E+08  0.187874E-03
 -0.282712E-04 -0.111715E+02  0.352971E-06  0.279704E+02  0.664741E-04  0.243772E-02
 0.9000
  0.655947E+07  0.231934E-02 -0.105240E+04  0.781250E-01  0.107437E+08 -0.715256E-05
  0.286865E-01  0.655705E+07 -0.244812E+00 -0.107333E+08 -0.449219E-01 -0.993202E+01
  0.205845E+04 -0.363586E+00  0.261960E+07  0.661035E+01  0.150788E+04  0.191927E-04
 -0.666504E-01 -0.105919E+08  0.159473E+01  0.156081E+08 -0.722656E-01  0.130185E+02
  0.105167E+08 -0.192871E-01  0.214914E+05  0.309570E+00  0.154992E+08  0.352859E-04
